Date,Open,High,Low,Close,Adj Close,Volume
2020-05-05,8912.83203125,9996.7431640625,8374.3232421875,8601.7958984375,8601.7958984375,372425058178
2020-05-12,8610.3857421875,9906.0302734375,8569.6435546875,9726.5751953125,9726.5751953125,310362728487
2020-05-19,9727.0634765625,9836.0478515625,8719.66796875,8906.9345703125,8906.9345703125,236472290265
2020-05-26,8909.5859375,10199.5654296875,8757.2939453125,10167.2685546875,10167.2685546875,225283605515
2020-06-02,10162.9736328125,10182.3408203125,9458.150390625,9771.4892578125,9771.4892578125,180516161469
2020-06-09,9774.3603515625,9938.2978515625,8990.17578125,9450.7021484375,9450.7021484375,165537878168
2020-06-16,9454.2666015625,9655.0732421875,9247.3798828125,9648.7177734375,9648.7177734375,132704405438
2020-06-23,9644.076171875,9680.3671875,8975.525390625,9190.8544921875,9190.8544921875,121220174793
2020-06-30,9185.5810546875,9375.474609375,8977.015625,9375.474609375,9375.474609375,104208433804
2020-07-07,9349.1611328125,9450.3359375,9118.001953125,9243.6142578125,9243.6142578125,113624844224
2020-07-14,9238.703125,9283.841796875,9088.947265625,9164.2314453125,9164.2314453125,102535516614
2020-07-21,9162.5146484375,11298.2216796875,9149.3896484375,10990.873046875,10990.873046875,141778823687
2020-07-28,11017.4638671875,12034.14453125,10632.6318359375,11246.3486328125,11246.3486328125,173158969606
2020-08-04,11246.203125,12045.140625,11094.1455078125,11878.111328125,11878.111328125,153370283959
2020-08-11,11881.6474609375,12359.056640625,11195.708984375,12254.40234375,12254.40234375,176030476129
2020-08-18,12251.8955078125,12335.70703125,11448.8056640625,11774.595703125,11774.595703125,153871513452
2020-08-25,11773.5888671875,11778.2998046875,11185.94140625,11680.8203125,11680.8203125,151347367508
2020-09-01,11679.31640625,12067.0810546875,9916.4931640625,10369.5634765625,10369.5634765625,232932476446
2020-09-08,10369.306640625,10800.0107421875,9945.1103515625,10680.837890625,10680.837890625,265877297256
2020-09-15,10677.7548828125,11134.0927734375,10380.2607421875,10462.259765625,10462.259765625,204121879855
2020-09-22,10459.6240234375,10945.34765625,10197.865234375,10709.65234375,10709.65234375,282264314572
2020-09-29,10709.650390625,10933.6240234375,10416.689453125,10793.33984375,10793.33984375,342887684887
2020-10-06,10796.306640625,11698.4677734375,10528.890625,11555.36328125,11555.36328125,235547644043
2020-10-13,11548.7197265625,11799.0927734375,11223.0126953125,11742.037109375,11742.037109375,159742075242
2020-10-20,11745.974609375,13329.18359375,11681.48046875,13075.248046875,13075.248046875,216445965647
